cluster_size,total,correct,failed,success_rate_pct
226,261,261,0,100.0
227,244,244,0,100.0
228,273,273,0,100.0
229,273,273,0,100.0
230,255,255,0,100.0
231,255,255,0,100.0
232,256,256,0,100.0
233,266,266,0,100.0
234,234,234,0,100.0
235,213,213,0,100.0
236,237,237,0,100.0
237,234,234,0,100.0
238,225,225,0,100.0
239,240,240,0,100.0
240,204,204,0,100.0
241,196,196,0,100.0
242,204,204,0,100.0
243,202,202,0,100.0
244,201,201,0,100.0
245,216,216,0,100.0
246,200,200,0,100.0
247,199,199,0,100.0
248,194,194,0,100.0
249,188,188,0,100.0
250,186,186,0,100.0
251,196,196,0,100.0
252,183,183,0,100.0
253,158,158,0,100.0
254,190,190,0,100.0
255,169,169,0,100.0
256,200,200,0,100.0
257,175,175,0,100.0
258,172,172,0,100.0
259,165,165,0,100.0
260,143,141,2,98.6013986013986
261,156,156,0,100.0
262,150,150,0,100.0
263,159,159,0,100.0
264,156,156,0,100.0
265,145,145,0,100.0
266,139,138,1,99.28057553956835
267,138,138,0,100.0
268,143,143,0,100.0
269,139,139,0,100.0
270,133,133,0,100.0
271,131,131,0,100.0
272,125,125,0,100.0
273,116,116,0,100.0
274,130,130,0,100.0
275,124,124,0,100.0
276,117,117,0,100.0
277,148,148,0,100.0
278,118,118,0,100.0
279,117,117,0,100.0
280,121,121,0,100.0
281,128,128,0,100.0
282,105,105,0,100.0
283,110,110,0,100.0
284,123,123,0,100.0
285,119,119,0,100.0
286,113,113,0,100.0
287,120,120,0,100.0
288,111,111,0,100.0
289,104,104,0,100.0
