position,errors,total,error_rate,avg_entropy
78,0,72000,0.0,0.4314806186734802
79,0,72000,0.0,0.43135219954989024
80,0,72000,0.0,0.43139346046083504
81,0,72000,0.0,0.4315122020629545
82,0,72000,0.0,0.43144742204828396
83,0,72000,0.0,0.4311440499338011
84,0,72000,0.0,0.43104699548582237
85,0,72000,0.0,0.4314463764660888
86,0,72000,0.0,0.4314295419516663
87,0,72000,0.0,0.4311524845543835
88,0,72000,0.0,0.4315511727966368
89,0,72000,0.0,0.43186707890447645
90,0,72000,0.0,0.43143966449590193
91,9,72000,0.000125,0.43153422179611195
92,0,72000,0.0,0.43178542045876384
93,8,72000,0.00011111111111111112,0.43155728088360695
94,0,72000,0.0,0.4316013941491644
95,0,72000,0.0,0.4316022981169323
96,0,72000,0.0,0.4316555073969066
97,0,72000,0.0,0.4312902208690842
98,0,72000,0.0,0.4318655338854425
99,0,72000,0.0,0.4313491261969838
100,0,72000,0.0,0.4316462414984902
101,0,72000,0.0,0.4313669962187608
102,0,72000,0.0,0.4316336231840154
103,0,72000,0.0,0.43153136677833065
104,0,72000,0.0,0.4316450029835105
105,0,72000,0.0,0.4317302636421389
106,0,72000,0.0,0.43131066809553237
107,0,72000,0.0,0.43124037866915266
108,0,72000,0.0,0.4310697359082599
109,0,72000,0.0,0.431343205915557
110,0,72000,0.0,0.43152033684444097
111,0,72000,0.0,0.4315780428457591
112,0,72000,0.0,0.43155866412694255
113,0,72000,0.0,0.43123127035299935
114,0,72000,0.0,0.4316937691693505
115,0,72000,0.0,0.43194189070040984
116,0,72000,0.0,0.43165416316232746
117,0,72000,0.0,0.4315990715664294
118,0,72000,0.0,0.4316544181360967
119,0,72000,0.0,0.4317879962478247
120,0,72000,0.0,0.43173263274298773
121,0,72000,0.0,0.4315558286437558
122,0,72000,0.0,0.4316830149462654
123,0,72000,0.0,0.431662467121664
124,0,72000,0.0,0.43195807450513046
125,0,72000,0.0,0.43154675122598807
126,0,72000,0.0,0.43180677326768635
127,0,72000,0.0,0.4319566021569901
128,0,72000,0.0,0.43164577592288456
129,0,72000,0.0,0.43183141868520114
130,0,72000,0.0,0.4318396545288463
131,0,72000,0.0,0.4321187525474363
132,0,72000,0.0,0.4321926728499432
133,0,72000,0.0,0.43211412404105065
134,0,72000,0.0,0.4319750977990528
135,0,72000,0.0,0.4320886795566314
136,0,72000,0.0,0.43201319318513076
137,0,72000,0.0,0.4324915139977303
138,0,72000,0.0,0.4324586383621726
139,0,72000,0.0,0.4323078546962804
140,0,72000,0.0,0.4319159095423917
141,0,72000,0.0,0.4324286214369867
142,0,72000,0.0,0.43247989487192695
143,0,72000,0.0,0.432145055986113
144,0,72000,0.0,0.4320375127283235
145,0,72000,0.0,0.4321474038946132
146,0,72000,0.0,0.43176220014649963
147,0,72000,0.0,0.43122207252432904
148,0,72000,0.0,0.4314700178706812
149,0,72000,0.0,0.4302030479460955
150,0,72000,0.0,0.43106338605160516
151,0,72000,0.0,0.436704702069362
