position,errors,total,error_rate,avg_entropy
78,0,109944,0.0,0.4275096613375162
79,0,109944,0.0,0.4274204664348684
80,1,109944,9.095539547405952e-06,0.4274851846855852
81,1,109944,9.095539547405952e-06,0.4274443297697833
82,0,109944,0.0,0.42743821428682244
83,0,109944,0.0,0.42747747744080855
84,0,109944,0.0,0.4274352693075455
85,0,109944,0.0,0.427607737835067
86,2,109944,1.8191079094811903e-05,0.42744356941724243
87,0,109944,0.0,0.42742627928888555
88,1,109944,9.095539547405952e-06,0.4274985925290732
89,0,109944,0.0,0.42748808259657967
90,0,109944,0.0,0.42741028642653117
91,0,109944,0.0,0.427470831383316
92,0,109944,0.0,0.4274928303295709
93,0,109944,0.0,0.4275341107335395
94,0,109944,0.0,0.42744295748972194
95,1,109944,9.095539547405952e-06,0.4275021887619032
96,2,109944,1.8191079094811903e-05,0.4275444659584649
97,1,109944,9.095539547405952e-06,0.4275304323976749
98,0,109944,0.0,0.4274462540241266
99,0,109944,0.0,0.4275523734852354
100,1,109944,9.095539547405952e-06,0.42755598277542073
101,2,109944,1.8191079094811903e-05,0.42758785109371455
102,1,109944,9.095539547405952e-06,0.42752936196913366
103,0,109944,0.0,0.42756131741687964
104,0,109944,0.0,0.42746195523905234
105,2,109944,1.8191079094811903e-05,0.42749717611477145
106,1,109944,9.095539547405952e-06,0.4275141501176989
107,1,109944,9.095539547405952e-06,0.4276864295469585
108,1,109944,9.095539547405952e-06,0.42748021229316574
109,1,109944,9.095539547405952e-06,0.42757809444023714
110,0,109944,0.0,0.4275072164278398
111,1,109944,9.095539547405952e-06,0.4274856440480607
112,0,109944,0.0,0.4274877898505115
113,1,109944,9.095539547405952e-06,0.4276024304787912
114,1,109944,9.095539547405952e-06,0.4273951915315381
115,0,109944,0.0,0.4275483149930239
116,1,109944,9.095539547405952e-06,0.42761043670366256
117,1,109944,9.095539547405952e-06,0.42763204195940635
118,1,109944,9.095539547405952e-06,0.4276030171590194
119,1,109944,9.095539547405952e-06,0.42770641098110806
120,0,109944,0.0,0.4276843008171963
121,1,109944,9.095539547405952e-06,0.42761703524588107
122,1,109944,9.095539547405952e-06,0.42793433672263226
123,1,109944,9.095539547405952e-06,0.42811136611116635
124,1,109944,9.095539547405952e-06,0.42825913832230245
125,1,109944,9.095539547405952e-06,0.4266805893570165
126,1,109944,9.095539547405952e-06,0.4238556655257873
127,2,109944,1.8191079094811903e-05,0.42733331213987896
